culmen_depth_mm,species,body_mass_g
13.1,Gentoo,5000
15.1,Gentoo,5100
14.3,Gentoo,4100
15,Gentoo,5650
14.3,Gentoo,4600
15.3,Gentoo,5550
15.3,Gentoo,5250
14.2,Gentoo,4700
14.5,Gentoo,5050
17,Gentoo,6050
14.8,Gentoo,5150
16.3,Gentoo,5400
13.7,Gentoo,4950
17.3,Gentoo,5250
13.6,Gentoo,4350
15.7,Gentoo,5350
13.7,Gentoo,3950
16,Gentoo,5700
13.7,Gentoo,4300
15,Gentoo,4750
15.9,Gentoo,5550
13.9,Gentoo,4900
13.9,Gentoo,4200
15.9,Gentoo,5400
13.3,Gentoo,5100
15.8,Gentoo,5300
14.2,Gentoo,4850
14.1,Gentoo,5300
14.4,Gentoo,4400
15,Gentoo,5000
14.4,Gentoo,4900
15.4,Gentoo,5050
13.9,Gentoo,4300
15,Gentoo,5000
14.5,Gentoo,4450
15.3,Gentoo,5550
13.8,Gentoo,4200
14.9,Gentoo,5300
13.9,Gentoo,4400
15.7,Gentoo,5650
14.2,Gentoo,4700
16.8,Gentoo,5700
14.4,Gentoo,4650
16.2,Gentoo,5800
14.2,Gentoo,4700
15,Gentoo,5550
15,Gentoo,4750
15.6,Gentoo,5000
15.6,Gentoo,5100
14.8,Gentoo,5200
15,Gentoo,4700
16,Gentoo,5800
14.2,Gentoo,4600
16.3,Gentoo,6000
13.8,Gentoo,4750
16.4,Gentoo,5950
14.5,Gentoo,4625
15.6,Gentoo,5450
14.6,Gentoo,4725
15.9,Gentoo,5350
13.8,Gentoo,4750
17.3,Gentoo,5600
14.4,Gentoo,4600
14.2,Gentoo,5300
14,Gentoo,4875
17,Gentoo,5550
15,Gentoo,4950
17.1,Gentoo,5400
14.5,Gentoo,4750
16.1,Gentoo,5650
14.7,Gentoo,4850
15.7,Gentoo,5200
15.8,Gentoo,4925
14.6,Gentoo,4875
14.4,Gentoo,4625
16.5,Gentoo,5250
15,Gentoo,4850
17,Gentoo,5600
15.5,Gentoo,4975
15,Gentoo,5500
13.8,Gentoo,4725
16.1,Gentoo,5500
14.7,Gentoo,4700
15.8,Gentoo,5500
14,Gentoo,4575
15.1,Gentoo,5500
15.2,Gentoo,5000
15.9,Gentoo,5950
15.2,Gentoo,4650
16.3,Gentoo,5500
14.1,Gentoo,4375
16,Gentoo,5850
15.7,Gentoo,4875
16.2,Gentoo,6000
13.7,Gentoo,4925
14.3,Gentoo,4850
15.7,Gentoo,5750
14.8,Gentoo,5200
16.1,Gentoo,5400
17.9,Chinstrap,3500
19.5,Chinstrap,3900
19.2,Chinstrap,3650
18.7,Chinstrap,3525
19.8,Chinstrap,3725
17.8,Chinstrap,3950
18.2,Chinstrap,3250
18.2,Chinstrap,3750
18.9,Chinstrap,4150
19.9,Chinstrap,3700
17.8,Chinstrap,3800
20.3,Chinstrap,3775
17.3,Chinstrap,3700
18.1,Chinstrap,4050
17.1,Chinstrap,3575
19.6,Chinstrap,4050
20,Chinstrap,3300
17.8,Chinstrap,3700
18.6,Chinstrap,3450
18.2,Chinstrap,4400
17.3,Chinstrap,3600
17.5,Chinstrap,3400
16.6,Chinstrap,2900
19.4,Chinstrap,3800
17.9,Chinstrap,3300
19,Chinstrap,4150
18.4,Chinstrap,3400
19,Chinstrap,3800
17.8,Chinstrap,3700
20,Chinstrap,4550
16.6,Chinstrap,3200
20.8,Chinstrap,4300
16.7,Chinstrap,3350
18.8,Chinstrap,4100
18.6,Chinstrap,3600
16.8,Chinstrap,3900
18.3,Chinstrap,3850
20.7,Chinstrap,4800
16.6,Chinstrap,2700
19.9,Chinstrap,4500
19.5,Chinstrap,3950
17.5,Chinstrap,3650
19.1,Chinstrap,3550
17,Chinstrap,3500
17.9,Chinstrap,3675
18.5,Chinstrap,4450
17.9,Chinstrap,3400
19.6,Chinstrap,4300
18.7,Chinstrap,3250
17.3,Chinstrap,3675
16.4,Chinstrap,3325
19,Chinstrap,3950
17.3,Chinstrap,3600
19.7,Chinstrap,4050
17.3,Chinstrap,3350
18.8,Chinstrap,3450
16.6,Chinstrap,3250
19.9,Chinstrap,4050
18.8,Chinstrap,3800
19.4,Chinstrap,3525
19.5,Chinstrap,3950
16.5,Chinstrap,3650
17,Chinstrap,3650
19.8,Chinstrap,4000
18.1,Chinstrap,3400
18.2,Chinstrap,3775
19,Chinstrap,4100
18.7,Chinstrap,3775
